WWGI/CUB_VA_STD_ERR,Voice and Accountability; Standard Error - Cuba
WWGI/CYM_CC_EST,Control of Corruption; Estimate - Cayman Islands
WWGI/CYM_CC_PER_RNK,Control of Corruption; Percentile Rank - Cayman Islands
WWGI/CYM_CC_NO_SRC,Control of Corruption; Number of Sources - Cayman Islands
WWGI/CYM_CC_STD_ERR,Control of Corruption; Standard Error - Cayman Islands
WWGI/CYM_GE_EST,Government Effectiveness; Estimate - Cayman Islands
WWGI/CYM_GE_PER_RNK,Government Effectiveness; Percentile Rank - Cayman Islands
WWGI/CYM_GE_NO_SRC,Government Effectiveness; Number of Sources - Cayman Islands
WWGI/CYM_GE_STD_ERR,Government Effectiveness; Standard Error - Cayman Islands
WWGI/CYM_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Cayman Islands
WWGI/CYM_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Cayman Islands
WWGI/CYM_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Cayman Islands
WWGI/CYM_RQ_EST,Regulatory Quality; Estimate - Cayman Islands
WWGI/CYM_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Cayman Islands
WWGI/CYM_RQ_NO_SRC,Regulatory Quality; Number of Sources - Cayman Islands
WWGI/CYM_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Cayman Islands
WWGI/CYM_RQ_STD_ERR,Regulatory Quality; Standard Error - Cayman Islands
WWGI/CYM_RL_NO_SRC,Rule of Law; Number of Sources - Cayman Islands
WWGI/CYM_RL_EST,Rule of Law; Estimate - Cayman Islands
WWGI/CYM_RL_PER_RNK,Rule of Law; Percentile Rank - Cayman Islands
WWGI/CYM_RL_STD_ERR,Rule of Law; Standard Error - Cayman Islands
WWGI/CYM_VA_EST,Voice and Accountability; Estimate - Cayman Islands
WWGI/CYM_VA_NO_SRC,Voice and Accountability; Number of Sources - Cayman Islands
WWGI/CYM_VA_PER_RNK,Voice and Accountability; Percentile Rank - Cayman Islands
WWGI/CYM_VA_STD_ERR,Voice and Accountability; Standard Error - Cayman Islands
WWGI/CYP_CC_NO_SRC,Control of Corruption; Number of Sources - Cyprus
WWGI/CYP_CC_EST,Control of Corruption; Estimate - Cyprus
WWGI/CYP_CC_PER_RNK,Control of Corruption; Percentile Rank - Cyprus
WWGI/CYP_CC_STD_ERR,Control of Corruption; Standard Error - Cyprus
WWGI/CYP_GE_NO_SRC,Government Effectiveness; Number of Sources - Cyprus
WWGI/CYP_GE_EST,Government Effectiveness; Estimate - Cyprus
WWGI/CYP_GE_PER_RNK,Government Effectiveness; Percentile Rank - Cyprus
WWGI/CYP_GE_STD_ERR,Government Effectiveness; Standard Error - Cyprus
WWGI/CYP_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Cyprus
WWGI/CYP_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Cyprus
WWGI/CYP_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Cyprus
WWGI/CYP_RQ_EST,Regulatory Quality; Estimate - Cyprus
WWGI/CYP_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Cyprus
WWGI/CYP_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Cyprus
WWGI/CYP_RQ_NO_SRC,Regulatory Quality; Number of Sources - Cyprus
WWGI/CYP_RQ_STD_ERR,Regulatory Quality; Standard Error - Cyprus
WWGI/CYP_RL_EST,Rule of Law; Estimate - Cyprus
WWGI/CYP_RL_NO_SRC,Rule of Law; Number of Sources - Cyprus
WWGI/CYP_RL_STD_ERR,Rule of Law; Standard Error - Cyprus
WWGI/CYP_RL_PER_RNK,Rule of Law; Percentile Rank - Cyprus
WWGI/CYP_VA_EST,Voice and Accountability; Estimate - Cyprus
WWGI/CYP_VA_PER_RNK,Voice and Accountability; Percentile Rank - Cyprus
WWGI/CYP_VA_STD_ERR,Voice and Accountability; Standard Error - Cyprus
WWGI/CYP_VA_NO_SRC,Voice and Accountability; Number of Sources - Cyprus
WWGI/CZE_CC_PER_RNK,Control of Corruption; Percentile Rank - Czech Republic
WWGI/CZE_CC_NO_SRC,Control of Corruption; Number of Sources - Czech Republic
WWGI/CZE_CC_EST,Control of Corruption; Estimate - Czech Republic
WWGI/CZE_CC_STD_ERR,Control of Corruption; Standard Error - Czech Republic
WWGI/CZE_GE_EST,Government Effectiveness; Estimate - Czech Republic
WWGI/CZE_GE_NO_SRC,Government Effectiveness; Number of Sources - Czech Republic
WWGI/CZE_GE_PER_RNK,Government Effectiveness; Percentile Rank - Czech Republic
WWGI/CZE_GE_STD_ERR,Government Effectiveness; Standard Error - Czech Republic
WWGI/CZE_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Czech Republic
WWGI/CZE_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Czech Republic
WWGI/CZE_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Czech Republic
WWGI/CZE_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Czech Republic
WWGI/CZE_RQ_EST,Regulatory Quality; Estimate - Czech Republic
WWGI/CZE_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Czech Republic
WWGI/CZE_RQ_NO_SRC,Regulatory Quality; Number of Sources - Czech Republic
WWGI/CZE_RL_EST,Rule of Law; Estimate - Czech Republic
WWGI/CZE_RL_NO_SRC,Rule of Law; Number of Sources - Czech Republic
WWGI/CZE_RL_STD_ERR,Rule of Law; Standard Error - Czech Republic
WWGI/CZE_RL_PER_RNK,Rule of Law; Percentile Rank - Czech Republic
WWGI/CZE_RQ_STD_ERR,Regulatory Quality; Standard Error - Czech Republic
WWGI/CZE_VA_EST,Voice and Accountability; Estimate - Czech Republic
WWGI/CZE_VA_NO_SRC,Voice and Accountability; Number of Sources - Czech Republic
WWGI/CZE_VA_PER_RNK,Voice and Accountability; Percentile Rank - Czech Republic
WWGI/CZE_VA_STD_ERR,Voice and Accountability; Standard Error - Czech Republic
WWGI/DEU_CC_EST,Control of Corruption; Estimate - Germany
WWGI/DEU_CC_PER_RNK,Control of Corruption; Percentile Rank - Germany
WWGI/DEU_CC_NO_SRC,Control of Corruption; Number of Sources - Germany
WWGI/DEU_GE_NO_SRC,Government Effectiveness; Number of Sources - Germany
WWGI/DEU_CC_STD_ERR,Control of Corruption; Standard Error - Germany
WWGI/DEU_GE_PER_RNK,Government Effectiveness; Percentile Rank - Germany
WWGI/DEU_GE_EST,Government Effectiveness; Estimate - Germany
WWGI/DEU_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Germany
WWGI/DEU_GE_STD_ERR,Government Effectiveness; Standard Error - Germany
WWGI/DEU_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Germany
WWGI/DEU_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Germany
WWGI/DEU_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Germany
WWGI/DEU_RQ_EST,Regulatory Quality; Estimate - Germany
WWGI/DEU_RQ_NO_SRC,Regulatory Quality; Number of Sources - Germany
WWGI/DEU_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Germany
WWGI/DEU_RQ_STD_ERR,Regulatory Quality; Standard Error - Germany
WWGI/DEU_RL_EST,Rule of Law; Estimate - Germany
WWGI/DEU_RL_NO_SRC,Rule of Law; Number of Sources - Germany
WWGI/DEU_RL_PER_RNK,Rule of Law; Percentile Rank - Germany
WWGI/DEU_RL_STD_ERR,Rule of Law; Standard Error - Germany
WWGI/DEU_VA_NO_SRC,Voice and Accountability; Number of Sources - Germany
WWGI/DEU_VA_EST,Voice and Accountability; Estimate - Germany
WWGI/DEU_VA_PER_RNK,Voice and Accountability; Percentile Rank - Germany
WWGI/DJI_CC_EST,Control of Corruption; Estimate - Djibouti
WWGI/DJI_CC_NO_SRC,Control of Corruption; Number of Sources - Djibouti
WWGI/DEU_VA_STD_ERR,Voice and Accountability; Standard Error - Germany
WWGI/DJI_CC_STD_ERR,Control of Corruption; Standard Error - Djibouti
WWGI/DJI_CC_PER_RNK,Control of Corruption; Percentile Rank - Djibouti
WWGI/DJI_GE_NO_SRC,Government Effectiveness; Number of Sources - Djibouti
WWGI/DJI_GE_EST,Government Effectiveness; Estimate - Djibouti
WWGI/DJI_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Djibouti
WWGI/DJI_GE_STD_ERR,Government Effectiveness; Standard Error - Djibouti
WWGI/DJI_GE_PER_RNK,Government Effectiveness; Percentile Rank - Djibouti
WWGI/DJI_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Djibouti
WWGI/DJI_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Djibouti
WWGI/DJI_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Djibouti
WWGI/DJI_RQ_EST,Regulatory Quality; Estimate - Djibouti
WWGI/DJI_RQ_NO_SRC,Regulatory Quality; Number of Sources - Djibouti
WWGI/DJI_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Djibouti
WWGI/DJI_RL_EST,Rule of Law; Estimate - Djibouti
WWGI/DJI_RQ_STD_ERR,Regulatory Quality; Standard Error - Djibouti
WWGI/DJI_RL_NO_SRC,Rule of Law; Number of Sources - Djibouti
WWGI/DJI_RL_PER_RNK,Rule of Law; Percentile Rank - Djibouti
WWGI/DJI_VA_EST,Voice and Accountability; Estimate - Djibouti
WWGI/DJI_RL_STD_ERR,Rule of Law; Standard Error - Djibouti
WWGI/DJI_VA_NO_SRC,Voice and Accountability; Number of Sources - Djibouti
WWGI/DJI_VA_PER_RNK,Voice and Accountability; Percentile Rank - Djibouti
WWGI/DJI_VA_STD_ERR,Voice and Accountability; Standard Error - Djibouti
WWGI/DMA_CC_EST,Control of Corruption; Estimate - Dominica
WWGI/DMA_CC_NO_SRC,Control of Corruption; Number of Sources - Dominica
WWGI/DMA_CC_PER_RNK,Control of Corruption; Percentile Rank - Dominica
WWGI/DMA_CC_STD_ERR,Control of Corruption; Standard Error - Dominica
WWGI/DMA_GE_NO_SRC,Government Effectiveness; Number of Sources - Dominica
WWGI/DMA_GE_EST,Government Effectiveness; Estimate - Dominica
WWGI/DMA_GE_STD_ERR,Government Effectiveness; Standard Error - Dominica
WWGI/DMA_GE_PER_RNK,Government Effectiveness; Percentile Rank - Dominica
WWGI/DMA_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Dominica
WWGI/DMA_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Dominica
WWGI/DMA_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Dominica
WWGI/DMA_RQ_EST,Regulatory Quality; Estimate - Dominica
WWGI/DMA_RQ_NO_SRC,Regulatory Quality; Number of Sources - Dominica
WWGI/DMA_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Dominica
WWGI/DMA_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Dominica
WWGI/DMA_RQ_STD_ERR,Regulatory Quality; Standard Error - Dominica
WWGI/DMA_RL_NO_SRC,Rule of Law; Number of Sources - Dominica
WWGI/DMA_RL_PER_RNK,Rule of Law; Percentile Rank - Dominica
WWGI/DMA_RL_EST,Rule of Law; Estimate - Dominica
WWGI/DMA_RL_STD_ERR,Rule of Law; Standard Error - Dominica
WWGI/DMA_VA_EST,Voice and Accountability; Estimate - Dominica
WWGI/DMA_VA_NO_SRC,Voice and Accountability; Number of Sources - Dominica
WWGI/DMA_VA_PER_RNK,Voice and Accountability; Percentile Rank - Dominica
WWGI/DMA_VA_STD_ERR,Voice and Accountability; Standard Error - Dominica
WWGI/DNK_CC_NO_SRC,Control of Corruption; Number of Sources - Denmark
WWGI/DNK_CC_EST,Control of Corruption; Estimate - Denmark
WWGI/DNK_CC_PER_RNK,Control of Corruption; Percentile Rank - Denmark
WWGI/DNK_GE_NO_SRC,Government Effectiveness; Number of Sources - Denmark
WWGI/DNK_GE_PER_RNK,Government Effectiveness; Percentile Rank - Denmark
WWGI/DNK_GE_EST,Government Effectiveness; Estimate - Denmark
WWGI/DNK_GE_STD_ERR,Government Effectiveness; Standard Error - Denmark
WWGI/DNK_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Denmark
WWGI/DNK_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Denmark
WWGI/DNK_CC_STD_ERR,Control of Corruption; Standard Error - Denmark
WWGI/DNK_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Denmark
WWGI/DNK_RQ_EST,Regulatory Quality; Estimate - Denmark
WWGI/DNK_RQ_NO_SRC,Regulatory Quality; Number of Sources - Denmark
WWGI/DNK_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Denmark
WWGI/DNK_RQ_STD_ERR,Regulatory Quality; Standard Error - Denmark
WWGI/DNK_RL_EST,Rule of Law; Estimate - Denmark
WWGI/DNK_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Denmark
WWGI/DNK_RL_NO_SRC,Rule of Law; Number of Sources - Denmark
WWGI/DNK_RL_PER_RNK,Rule of Law; Percentile Rank - Denmark
WWGI/DNK_VA_EST,Voice and Accountability; Estimate - Denmark
WWGI/DNK_VA_NO_SRC,Voice and Accountability; Number of Sources - Denmark
WWGI/DNK_RL_STD_ERR,Rule of Law; Standard Error - Denmark
WWGI/DNK_VA_PER_RNK,Voice and Accountability; Percentile Rank - Denmark
WWGI/DNK_VA_STD_ERR,Voice and Accountability; Standard Error - Denmark
WWGI/DOM_CC_EST,Control of Corruption; Estimate - Dominican Republic
WWGI/DOM_CC_STD_ERR,Control of Corruption; Standard Error - Dominican Republic
WWGI/DOM_CC_PER_RNK,Control of Corruption; Percentile Rank - Dominican Republic
WWGI/DOM_GE_NO_SRC,Government Effectiveness; Number of Sources - Dominican Republic
WWGI/DOM_GE_EST,Government Effectiveness; Estimate - Dominican Republic
WWGI/DOM_CC_NO_SRC,Control of Corruption; Number of Sources - Dominican Republic
WWGI/DOM_GE_PER_RNK,Government Effectiveness; Percentile Rank - Dominican Republic
WWGI/DOM_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Dominican Republic
WWGI/DOM_GE_STD_ERR,Government Effectiveness; Standard Error - Dominican Republic
WWGI/DOM_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Dominican Republic
WWGI/DOM_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Dominican Republic
WWGI/DOM_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Dominican Republic
WWGI/DOM_RQ_EST,Regulatory Quality; Estimate - Dominican Republic
WWGI/DOM_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Dominican Republic
WWGI/DOM_RQ_NO_SRC,Regulatory Quality; Number of Sources - Dominican Republic
WWGI/DOM_RQ_STD_ERR,Regulatory Quality; Standard Error - Dominican Republic
WWGI/DOM_RL_NO_SRC,Rule of Law; Number of Sources - Dominican Republic
WWGI/DOM_RL_EST,Rule of Law; Estimate - Dominican Republic
WWGI/DOM_RL_PER_RNK,Rule of Law; Percentile Rank - Dominican Republic
WWGI/DOM_VA_EST,Voice and Accountability; Estimate - Dominican Republic
WWGI/DOM_RL_STD_ERR,Rule of Law; Standard Error - Dominican Republic
WWGI/DOM_VA_NO_SRC,Voice and Accountability; Number of Sources - Dominican Republic
WWGI/DOM_VA_PER_RNK,Voice and Accountability; Percentile Rank - Dominican Republic
WWGI/DZA_CC_EST,Control of Corruption; Estimate - Algeria
WWGI/DZA_CC_NO_SRC,Control of Corruption; Number of Sources - Algeria
WWGI/DOM_VA_STD_ERR,Voice and Accountability; Standard Error - Dominican Republic
WWGI/DZA_CC_PER_RNK,Control of Corruption; Percentile Rank - Algeria
WWGI/DZA_CC_STD_ERR,Control of Corruption; Standard Error - Algeria
WWGI/DZA_GE_EST,Government Effectiveness; Estimate - Algeria
WWGI/DZA_GE_NO_SRC,Government Effectiveness; Number of Sources - Algeria
WWGI/DZA_GE_PER_RNK,Government Effectiveness; Percentile Rank - Algeria
WWGI/DZA_GE_STD_ERR,Government Effectiveness; Standard Error - Algeria
WWGI/DZA_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Algeria
WWGI/DZA_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Algeria
WWGI/DZA_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Algeria
WWGI/DZA_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Algeria
WWGI/DZA_RQ_NO_SRC,Regulatory Quality; Number of Sources - Algeria
WWGI/DZA_RQ_EST,Regulatory Quality; Estimate - Algeria
WWGI/DZA_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Algeria
WWGI/DZA_RQ_STD_ERR,Regulatory Quality; Standard Error - Algeria
WWGI/DZA_RL_NO_SRC,Rule of Law; Number of Sources - Algeria
WWGI/DZA_RL_EST,Rule of Law; Estimate - Algeria
WWGI/DZA_RL_PER_RNK,Rule of Law; Percentile Rank - Algeria
WWGI/DZA_RL_STD_ERR,Rule of Law; Standard Error - Algeria
WWGI/DZA_VA_EST,Voice and Accountability; Estimate - Algeria
WWGI/DZA_VA_NO_SRC,Voice and Accountability; Number of Sources - Algeria
WWGI/DZA_VA_PER_RNK,Voice and Accountability; Percentile Rank - Algeria
WWGI/DZA_VA_STD_ERR,Voice and Accountability; Standard Error - Algeria
WWGI/ECU_CC_EST,Control of Corruption; Estimate - Ecuador
WWGI/ECU_CC_PER_RNK,Control of Corruption; Percentile Rank - Ecuador
WWGI/ECU_CC_NO_SRC,Control of Corruption; Number of Sources - Ecuador
WWGI/ECU_CC_STD_ERR,Control of Corruption; Standard Error - Ecuador
WWGI/ECU_GE_PER_RNK,Government Effectiveness; Percentile Rank - Ecuador
WWGI/ECU_GE_NO_SRC,Government Effectiveness; Number of Sources - Ecuador
WWGI/ECU_GE_EST,Government Effectiveness; Estimate - Ecuador
WWGI/ECU_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Ecuador
WWGI/ECU_GE_STD_ERR,Government Effectiveness; Standard Error - Ecuador
WWGI/ECU_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Ecuador
WWGI/ECU_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Ecuador
WWGI/ECU_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Ecuador
WWGI/ECU_RQ_NO_SRC,Regulatory Quality; Number of Sources - Ecuador
WWGI/ECU_RQ_STD_ERR,Regulatory Quality; Standard Error - Ecuador
WWGI/ECU_RL_EST,Rule of Law; Estimate - Ecuador
WWGI/ECU_RQ_EST,Regulatory Quality; Estimate - Ecuador
WWGI/ECU_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Ecuador
WWGI/ECU_RL_PER_RNK,Rule of Law; Percentile Rank - Ecuador
WWGI/ECU_RL_NO_SRC,Rule of Law; Number of Sources - Ecuador
WWGI/ECU_VA_NO_SRC,Voice and Accountability; Number of Sources - Ecuador
WWGI/ECU_VA_EST,Voice and Accountability; Estimate - Ecuador
WWGI/ECU_RL_STD_ERR,Rule of Law; Standard Error - Ecuador
WWGI/ECU_VA_PER_RNK,Voice and Accountability; Percentile Rank - Ecuador
WWGI/ECU_VA_STD_ERR,Voice and Accountability; Standard Error - Ecuador
WWGI/EGY_CC_EST,"Control of Corruption; Estimate - Egypt, Arab Rep."
WWGI/EGY_CC_NO_SRC,"Control of Corruption; Number of Sources - Egypt, Arab Rep."
WWGI/EGY_CC_PER_RNK,"Control of Corruption; Percentile Rank - Egypt, Arab Rep."
WWGI/EGY_CC_STD_ERR,"Control of Corruption; Standard Error - Egypt, Arab Rep."
WWGI/EGY_GE_EST,"Government Effectiveness; Estimate - Egypt, Arab Rep."
WWGI/EGY_GE_NO_SRC,"Government Effectiveness; Number of Sources - Egypt, Arab Rep."
WWGI/EGY_GE_STD_ERR,"Government Effectiveness; Standard Error - Egypt, Arab Rep."
WWGI/EGY_GE_PER_RNK,"Government Effectiveness; Percentile Rank - Egypt, Arab Rep."
WWGI/EGY_PV_NO_SRC,"Political Stability and Absence of Violence/Terrorism; Number of Sources - Egypt, Arab Rep."
WWGI/EGY_PV_EST,"Political Stability and Absence of Violence/Terrorism; Estimate - Egypt, Arab Rep."
WWGI/EGY_PV_PER_RNK,"Political Stability and Absence of Violence/Terrorism; Percentile Rank - Egypt, Arab Rep."
WWGI/EGY_PV_STD_ERR,"Political Stability and Absence of Violence/Terrorism; Standard Error - Egypt, Arab Rep."
WWGI/EGY_RQ_EST,"Regulatory Quality; Estimate - Egypt, Arab Rep."
WWGI/EGY_RQ_NO_SRC,"Regulatory Quality; Number of Sources - Egypt, Arab Rep."
WWGI/EGY_RQ_STD_ERR,"Regulatory Quality; Standard Error - Egypt, Arab Rep."
WWGI/EGY_RQ_PER_RNK,"Regulatory Quality; Percentile Rank - Egypt, Arab Rep."
WWGI/EGY_RL_EST,"Rule of Law; Estimate - Egypt, Arab Rep."
WWGI/EGY_RL_NO_SRC,"Rule of Law; Number of Sources - Egypt, Arab Rep."
WWGI/EGY_RL_PER_RNK,"Rule of Law; Percentile Rank - Egypt, Arab Rep."
WWGI/EGY_RL_STD_ERR,"Rule of Law; Standard Error - Egypt, Arab Rep."
WWGI/EGY_VA_EST,"Voice and Accountability; Estimate - Egypt, Arab Rep."
WWGI/EGY_VA_NO_SRC,"Voice and Accountability; Number of Sources - Egypt, Arab Rep."
WWGI/EGY_VA_PER_RNK,"Voice and Accountability; Percentile Rank - Egypt, Arab Rep."
WWGI/ERI_CC_EST,Control of Corruption; Estimate - Eritrea
WWGI/ERI_CC_NO_SRC,Control of Corruption; Number of Sources - Eritrea
WWGI/ERI_CC_PER_RNK,Control of Corruption; Percentile Rank - Eritrea
WWGI/EGY_VA_STD_ERR,"Voice and Accountability; Standard Error - Egypt, Arab Rep."
WWGI/ERI_CC_STD_ERR,Control of Corruption; Standard Error - Eritrea
WWGI/ERI_GE_EST,Government Effectiveness; Estimate - Eritrea
WWGI/ERI_GE_NO_SRC,Government Effectiveness; Number of Sources - Eritrea
WWGI/ERI_GE_PER_RNK,Government Effectiveness; Percentile Rank - Eritrea
WWGI/ERI_GE_STD_ERR,Government Effectiveness; Standard Error - Eritrea
WWGI/ERI_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Eritrea
